Detail,Player,Season,Team,AVG,G,AB,R,H,2B,3B,HR,RBI,TB,BB,IBB,HP,SO,SF,SH,SB,CS,OBP,SLG,OPS,E
-,"Anderson, Jack",PLAYOFFS 2024,Kitchener,.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.000,.000,.000,0
-,"Anderson, James",PLAYOFFS 2024,Barrie,.500,2,2,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,.667,1.000,1.667,0
-,"Ando, Royce",PLAYOFFS 2024,Barrie,.353,8,34,10,12,1,0,0,7,13,3,0,1,13,0,0,0,0,.421,.382,.803,4
*,"Barrett, Greyson",PLAYOFFS 2024,Welland,.250,7,16,3,4,1,0,0,1,5,2,0,0,8,0,0,0,0,.333,.313,.646,0
-,"Battel, Daniel",PLAYOFFS 2024,Chatham-Ke,.250,2,8,2,2,2,0,0,1,4,0,0,0,4,0,0,0,0,.250,.500,.750,1
*,"Berg, Danny",PLAYOFFS 2024,Hamilton,.000,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,.000,.000,.000,0
-,"Bernardo, Luis",PLAYOFFS 2024,Hamilton,.375,4,16,5,6,3,0,0,6,9,2,0,1,4,1,0,1,1,.450,.563,1.013,3
-,"Bowman, Charlie",PLAYOFFS 2024,London,.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,.000,.000,.000,0
-,"Boyle, Nolan",PLAYOFFS 2024,Hamilton,.000,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,.000,.000,.000,0
-,"Brownlee, Cleveland",PLAYOFFS 2024,London,.188,6,16,1,3,1,0,0,1,4,2,0,0,8,0,1,0,0,.278,.250,.528,0
-,"Burns, Carson",PLAYOFFS 2024,Guelph,.205,12,44,7,9,1,0,0,6,10,10,1,0,18,1,1,1,2,.345,.227,.573,3
-,"Burnside, Ryan",PLAYOFFS 2024,Kitchener,.167,3,12,0,2,1,0,0,2,3,1,0,0,2,0,0,0,0,.231,.250,.481,0
